"%1 Details","%1 Detaljer"
"%1 [Trace ID: %2]","%1 [Spår-ID: %2]"
"%1 customer address updated.","%1 kundadress uppdaterad."
"%1 order has been marked as cancelled","%1 beställning har markerats som avbruten"
"%1 order invoice has not been issued yet.","%1 orderfaktura har inte utfärdats ännu."
"%1 order marked as completed.","%1 order markerad som slutförd."
"%1 order marked as partially completed.","%1 order markerad som delvis slutförd."
"%1 payment has been verified by the customer.","%1 betalning har verifierats av kunden."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 kräver att hela beställningen skickas innan den kan uppfyllas."
"%1 terms and conditions","%1 villkor och bestämmelser"
"* Required Fields","* Obligatoriska fält"
"API Key","API-nyckel"
"API key is missing","API-nyckel saknas"
"API key is not valid","API-nyckeln är inte giltig"
"API key is valid","API-nyckeln är giltig"
"Show PO Number field","Visa fältet för PO-nummer"
"Show Department field","Visa fältet för avdelning"
"Show Order note field","Visa fältet för orderanteckning"
"Show Project field","Visa fältet för projekt"
"Allowed Countries","Tillåtna länder"
"Choose whether to enable this payment method for all allowed countries or only specific ones.","Välj om du vill aktivera denna betalningsmetod för alla tillåtna länder eller bara specifika."
"Country Availability","Landstillgänglighet"
"Select the countries where this payment method should be available.","Välj de länder där denna betalningsmetod ska vara tillgänglig."
"Amount is missing","Belopp saknas"
"Branding","Branding"
"Business Invoice","Företagsfaktura"
"Buy now, receive your goods, pay your invoice later.","Köp nu, få dina varor, betala din faktura senare."
"Check last 100 debug log records","Kontrollera de senaste 100 felsökningsloggposterna"
"Check last 100 error log records","Kontrollera de senaste 100 felloggposterna"
"City","Stad"
"%1 is not valid.","%1 är inte giltigt."
"%1: %2.","%1: %2."
"Click here to log in or sign up as a Sole Trader.","Klicka här för att logga in eller registrera dig som enskild näringsidkare."
"Company Number","Organisationsnummer"
"Company Name","Företagsnamn"
"Could not initiate capture with %1","Kunde inte initiera debitering med %1"
"Could not initiate refund with %1","Kunde inte initiera återbetalning med %1"
"Could not update %1 order status to cancelled. Please contact support with order ID %2. Error: %3","Kunde inte uppdatera %1 orderstatus till annullerad. Kontakta supporten med beställnings-ID %2. Fel: %3"
"Country","Land"
"Credit Note","Kreditnota"
"Debug Mode","Felsökningsläge"
"Department","Avdelning"
"Download","Ladda ner"
"Download as .txt file","Ladda ner som .txt-fil"
"Email Address","E-postadress"
"Enable Address Search","Aktivera adresssökning"
"Enable Company Search","Aktivera företagssökning"
"Enable Order Intent","Aktivera orderavsikt"
"Enable Payment Method","Aktivera betalningsmetod"
"Enable Tax Subtotals","Aktivera delsummor för skatt"
"Enter company name to search","Ange företagsnamn för att söka"
"Enter details manually","Ange detaljer manuellt"
"Environment","Miljö"
"Failed to refund order with %1. Reason: %2","Det gick inte att återbetala beställningen med %1. Orsak: %2"
"Failed to update %1 customer address: %2","Misslyckades med att uppdatera %1 kundadress: %2"
"Find out more","Ta reda på mer"
"First Name","Förnamn"
"Fulfilment Order Status","Uppfyllande orderstatus"
"Fulfilment Trigger","Uppfyllelse trigger"
"General","Generellt"
"Invalid API response from %1.","Ogiltigt API-svar från %1."
"Invoice","Faktura"
"Invoice purchase with %1 is not available for this order.","Fakturaköp med %1 är inte tillgängligt för den här beställningen."
"Last 100 debug log lines","Senaste 100 felsökningsloggraderna"
"Last 100 error log records","Senaste 100 felloggposter"
"Last Name","Efternamn"
"Log is empty","Loggen är tom"
"OK","OK"
"On Completion","Vid färdigställande"
"On Invoice","På faktura"
"On Shipment","Vid leverans"
"Order ID","Beställnings-ID"
"Order Note","Beställningsanmärkning"
"Order edit request was accepted by %1","Begäran om beställningsredigering accepterades av %1"
"PO Number","PO-nummer"
"Payment","Betalning"
"Payment Method","Betalningsmetod"
"Phone Number","Telefonnummer"
"Place Order","Beställa"
"Please try again later.","Försök igen senare."
"Production","Produktion"
"Project","Projekt"
"Registered Organisation","Registrerad organisation"
"Sandbox","Sandbox"
"Search","Sök"
"Search for company","Sök efter företag"
"Sign up now","Registrera nu"
"Sole Trader","Enskild näringsidkare"
"Something went wrong with your request to %1. %2","Något gick fel med din begäran till %1. %2"
"Sort Order","Sorteringsordning"
"Street Address","Gatuadress"
"Successfully refunded order with %1 for order ID: %2. Refund reference: %3","Återbetalad beställning med %1 för beställnings-ID: %2. Återbetalningsreferens: %3"
"TWO","TWO"
"The %1 payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our <a href=""%2"" target=""_blank"">step by step guide</a>.","Betalningspluginet %1 för Magento förenklar B2B-shopping, vilket gör det enkelt och säkert för handlare att erbjuda fakturor som betalningsmetod. <br> Betalningsmetoden finns bredvid andra betalningsmetoder i din befintliga kassa, och erbjuder en mängd olika konfigurationsalternativ för att passa ditt företags behov. <br> Om du vill veta mer om hur du konfigurerar plugin-programmet, kolla in vår <a href=""%2"" target=""_blank""> steg-för-steg-guide </a> ."
"The buyer and the seller are the same company.","Köparen och säljaren är samma företag."
"The capture action is not available.","Infångningsåtgärden är inte tillgänglig."
"Title","Titel"
"Two is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using Two, you can access flexible trade credit instantly to make purchasing simple.","Two är en betalningslösning för B2B-köp online, som låter dig köpa från dina favorithandlare och leverantörer på handelskredit. Med Two får du omedelbar tillgång till flexibel handelskredit för att göra inköp enkelt."
"Unable to confirm %1 order with %2 state.","Kan inte bekräfta %1 beställning med %2 status."
"Unable to find the requested %1 order","Det gick inte att hitta den begärda beställningen %1"
"Version","Version"
"You must accept %1 to place order.","Du måste acceptera %1 för att göra en beställning."
"You will be redirected to %1 when you place order.","Du kommer att omdirigeras till %1 när du beställer."
"Your invoice purchase with %1 could not be processed. The cart will be restored.","Ditt fakturaköp med %1 kunde inte behandlas. Varukorgen kommer att återställas."
